density,eligiblePlayers,scopeCode,scopeName,scopeType,truth,candidateRecallAt20,meanRankErrorTop10,medianRankErrorTop10,ndcgAt10,ndcgAt20,overlapAt10,precisionAt10,recallAt10,top10NearMissRate
medium,196,12,Castellón/Castelló,province,season_merit,0.6,15.6,14,0.5321,0.7514,4,0.4,0.4,0.1667
medium,172,15,A Coruña,province,season_merit,0.7,12.6,7,0.5022,0.7678,4,0.4,0.4,0.5
dense,404,28,Madrid,province,season_merit,0.9,7.7,5,0.6471,0.7295,7,0.7,0.7,0.6667
medium,88,06,Badajoz,province,season_merit,0.9,7.6,4,0.7676,0.8604,6,0.6,0.6,0.5
medium,167,50,Zaragoza,province,season_merit,0.4,22.5,15,0.3405,0.6491,2,0.2,0.2,0.125
medium,150,23,Jaén,province,season_merit,0.8,9.9,10,0.685,0.8625,4,0.4,0.4,0.3333
medium,176,31,Navarra,province,season_merit,0.7,13.2,6,0.4415,0.6866,5,0.5,0.5,0.4
medium,126,27,Lugo,province,season_merit,0.8,6,3,0.7582,0.7602,7,0.7,0.7,0.3333
small,95,51,Ceuta,province,season_merit,0.9,6.8,6,0.8008,0.8699,7,0.7,0.7,0.3333
medium,251,43,Tarragona,province,season_merit,0.9,8.4,6,0.6294,0.8225,5,0.5,0.5,0.4
medium,134,38,Santa Cruz de Tenerife,province,season_merit,0.8,9.1,7,0.4839,0.7605,4,0.4,0.4,0.5
medium,152,37,Salamanca,province,season_merit,0.5,22.5,9,0.4377,0.6936,3,0.3,0.3,0.2857
medium,137,13,Ciudad Real,province,season_merit,1,6.1,4,0.6185,0.8074,4,0.4,0.4,0.5
small,60,34,Palencia,province,season_merit,0.9,2.3,0,0.8868,0.8658,8,0.8,0.8,0.5
medium,186,21,Huelva,province,season_merit,0.7,12.6,6,0.5377,0.6693,5,0.5,0.5,0.4
medium,96,25,Lleida,province,season_merit,0.8,10.3,6,0.589,0.7817,4,0.4,0.4,0.3333
medium,98,24,León,province,season_merit,0.8,8.5,3,0.7796,0.881,6,0.6,0.6,0.25
medium,204,26,La Rioja,province,season_merit,0.8,12,8,0.2966,0.5213,4,0.4,0.4,0.1667
small,30,52,Melilla,province,season_merit,1,2.6,2,0.9131,0.957,8,0.8,0.8,1
medium,134,33,Asturias,province,season_merit,0.9,10.9,4,0.7,0.8629,4,0.4,0.4,0.5
medium,129,18,Granada,province,season_merit,1,3.9,4,0.7346,0.8989,5,0.5,0.5,1
medium,184,45,Toledo,province,season_merit,0.5,20.8,13,0.3157,0.6763,3,0.3,0.3,0.1429
medium,136,01,Araba/Álava,province,season_merit,0.8,9,5,0.6139,0.8266,5,0.5,0.5,0.2
medium,163,07,Illes Balears,province,season_merit,0.3,28.6,17,0.4497,0.5862,2,0.2,0.2,0.125
medium,100,10,Cáceres,province,season_merit,0.8,6.3,4,0.7017,0.8282,6,0.6,0.6,0.5
small,97,44,Teruel,province,season_merit,0.9,6.4,2,0.7902,0.8608,6,0.6,0.6,0.25
small,50,16,Cuenca,province,season_merit,1,3.2,3,0.9331,0.9808,9,0.9,0.9,1
small,106,09,Burgos,province,season_merit,0.9,3.7,2,0.912,0.8882,8,0.8,0.8,0.5
medium,114,04,Almería,province,season_merit,0.9,7.8,4,0.7095,0.8093,6,0.6,0.6,0.5
small,59,19,Guadalajara,province,season_merit,0.9,4.6,2,0.8546,0.8837,6,0.6,0.6,0.5
medium,183,32,Ourense,province,season_merit,0.7,13.9,4,0.6925,0.7695,5,0.5,0.5,0.4
small,70,49,Zamora,province,season_merit,0.8,7.2,5,0.802,0.8767,5,0.5,0.5,0.6
small,66,22,Huesca,province,season_merit,1,5.4,6,0.7065,0.9121,6,0.6,0.6,0.5
small,87,40,Segovia,province,season_merit,1,4.6,3,0.7355,0.9481,6,0.6,0.6,0.75
