00:02.212  blend            | Read blend: "/Users/macbookpro14/.codex/worktrees/pachangas-reward-chest-animation/artifacts/reward-chest/recovered.blend"
INFO Draco mesh compression is available, use library at /Applications/Blender.app/Contents/Resources/5.1/scripts/addons_core/io_scene_gltf2/libextern_draco.dylib
DracoEncoder | Encoded 22 vertices, 60 indices, raw size: 824, encoded size: 262, compression ratio: 3.15
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 22 vertices, 60 indices, raw size: 824, encoded size: 260, compression ratio: 3.17
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 800 vertices, 1284 indices, raw size: 28168, encoded size: 5240, compression ratio: 5.38
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 3218 vertices, 5328 indices, raw size: 113472, encoded size: 20260, compression ratio: 5.60
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 4053 vertices, 6612 indices, raw size: 142632, encoded size: 25346, compression ratio: 5.63
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 3873 vertices, 7200 indices, raw size: 137696, encoded size: 21057, compression ratio: 6.54
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 363 vertices, 1920 indices, raw size: 15456, encoded size: 2469, compression ratio: 6.26
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 22 vertices, 60 indices, raw size: 824, encoded size: 260, compression ratio: 3.17
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 22 vertices, 60 indices, raw size: 824, encoded size: 260, compression ratio: 3.17
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 22 vertices, 60 indices, raw size: 824, encoded size: 257, compression ratio: 3.21
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 22 vertices, 60 indices, raw size: 824, encoded size: 257, compression ratio: 3.21
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 22 vertices, 60 indices, raw size: 824, encoded size: 260, compression ratio: 3.17
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 22 vertices, 60 indices, raw size: 824, encoded size: 275, compression ratio: 3.00
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 22 vertices, 60 indices, raw size: 824, encoded size: 270, compression ratio: 3.05
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 1234 vertices, 2292 indices, raw size: 44072, encoded size: 6641, compression ratio: 6.64
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 114 vertices, 324 indices, raw size: 4296, encoded size: 1142, compression ratio: 3.76
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 114 vertices, 324 indices, raw size: 4296, encoded size: 1142, compression ratio: 3.76
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 114 vertices, 324 indices, raw size: 4296, encoded size: 1142, compression ratio: 3.76
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 114 vertices, 324 indices, raw size: 4296, encoded size: 1142, compression ratio: 3.76
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 1880 vertices, 8826 indices, raw size: 77812, encoded size: 10448, compression ratio: 7.45
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 1162 vertices, 2292 indice22:28:32 | INFO: Draco encoder: Encoding mesh Interior_Logo_Centre_Circle.
22:28:32 | INFO: Draco encoder: Encoding mesh Interior_Logo_Emboss_Icon.
22:28:32 | INFO: Draco encoder: Encoding mesh Interior_Logo_Field.
22:28:32 | INFO: Draco encoder: Encoding mesh Interior_Logo_Field_2.
22:28:32 | INFO: Draco encoder: Encoding mesh Interior_Logo_Field_3.
22:28:32 | INFO: Draco encoder: Encoding mesh Interior_Logo_Field_4.
22:28:32 | INFO: Draco encoder: Encoding mesh Interior_Logo_Field_5.
22:28:32 | INFO: Draco encoder: Encoding mesh Interior_Logo_Field_6.
22:28:32 | INFO: Draco encoder: Encoding mesh Interior_Logo_Node_2.
22:28:32 | INFO: Draco encoder: Encoding mesh Interior_Logo_Node_3.
22:28:32 | INFO: Draco encoder: Encoding mesh Interior_Logo_Node_4.
22:28:32 | INFO: Draco encoder: Encoding mesh Interior_Logo_Nodes.
22:28:32 | INFO: Draco encoder: Encoding mesh Interior_Logo_Wordmark.
22:28:33 | INFO: Draco encoder: Encoding mesh Latch_Striker.
22:28:33 | INFO: Draco encoder: Encoding mesh Lid_Central_Inlay.
22:28:33 | INFO: Draco encoder: Encoding mesh Lid_Interior_Lining.
22:28:33 | INFO: Draco encoder: Encoding mesh Lid_Screw_1.
22:28:33 | INFO: Draco encoder: Encoding mesh Lid_Screw_2.
22:28:33 | INFO: Draco encoder: Encoding mesh Lid_Screw_3.
22:28:33 | INFO: Draco encoder: Encoding mesh Lid_Screw_4.
22:28:33 | INFO: Draco encoder: Encoding mesh Lid_Top_Panel.
22:28:33 | INFO: Draco encoder: Encoding mesh Rear_Hinge_Moving_Plate_1.
22:28:33 | INFO: Draco encoder: Encoding mesh Rear_Hinge_Moving_Plate_2.
22:28:33 | INFO: Draco encoder: Encoding mesh Top_Geometric_Seam.
22:28:33 | INFO: Draco encoder: Encoding mesh Top_Stitch_L_1.
22:28:33 | INFO: Draco encoder: Encoding mesh Top_Stitch_L_2.
22:28:33 | INFO: Draco encoder: Encoding mesh Top_Stitch_L_3.
s, raw size: 41768, encoded size: 7081, compression ratio: 5.90
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 319 vertices, 1680 indices, raw size: 13568, encoded size: 2301, compression ratio: 5.90
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 1092 vertices, 2292 indices, raw size: 39528, encoded size: 6900, compression ratio: 5.73
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 22 vertices, 60 indices, raw size: 824, encoded size: 264, compression ratio: 3.12
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 22 vertices, 60 indices, raw size: 824, encoded size: 264, compression ratio: 3.12
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 22 vertices, 60 indices, raw size: 824, encoded size: 257, compression ratio: 3.21
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 22 vertices, 60 indices, raw size: 824, encoded size: 257, compression ratio: 3.21
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 22 vertices, 60 indices, raw size: 824, encoded size: 264, compression ratio: 3.12
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 22 vertices, 60 indices, raw size: 824, encoded size: 281, compression ratio: 2.93
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 98 vertices, 276 indices, raw size: 3688, encoded size: 1016, compression ratio: 3.63
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 98 vertices, 276 indices, raw size: 3688, encoded size: 1016, compression ratio: 3.63
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 98 vertices, 276 indices, raw size: 3688, encoded size: 1016, compression ratio: 3.63
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 98 vertices, 276 indices, raw size: 3688, encoded size: 1016, compression ratio: 3.63
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 25996 vertices, 124068 indices, raw size: 1080008, encoded size: 96876, compression ratio: 11.15
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 416 vertices, 900 indices, raw size: 14792, encoded size: 3321, compression ratio: 4.45
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 60 vertices, 108 indices, raw size: 1656, encoded size: 431, compression ratio: 3.84
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 788 vertices, 1284 indices, raw size: 27720, encoded size: 4992, compression ratio: 5.55
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 66 vertices, 180 indices, raw size: 2472, encoded size: 751, compression ratio: 3.29
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 66 vertices, 180 indices, raw size: 2472, encoded size: 751, compression ratio: 3.29
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 66 vertices, 180 indices, raw size: 2472, encoded size: 751, compression ratio: 3.29
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 66 vertices, 180 indices, raw size: 2472, encoded size: 751, compression ratio: 3.29
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 900 vertices, 1764 indices, raw size: 32232, encoded size: 5959, compression ratio: 5.41
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 423 vertices, 900 indices, raw size: 15208, encoded size: 3312, compression ratio: 4.59
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 423 vertices, 900 indices, raw size: 15208, encoded size: 3312, compression ratio: 4.59
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 110 vertices, 540 indices, raw size: 4600, encoded size: 854, compression ratio: 5.39
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 22 vertices, 60 indices, raw size: 824, encoded size: 279, compression ratio: 2.95
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 22 vertices, 60 indices, raw size: 824, encoded size: 279, compression ratio: 2.95
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 22 vertices, 22:28:33 | INFO: Draco encoder: Encoding mesh Top_Stitch_L_4.
22:28:33 | INFO: Draco encoder: Encoding mesh Top_Stitch_L_5.
22:28:33 | INFO: Draco encoder: Encoding mesh Top_Stitch_L_6.
22:28:33 | INFO: Draco encoder: Encoding mesh Top_Stitch_R_1.
22:28:33 | INFO: Draco encoder: Encoding mesh Top_Stitch_R_2.
22:28:33 | INFO: Draco encoder: Encoding mesh Top_Stitch_R_3.
22:28:33 | INFO: Draco encoder: Encoding mesh Top_Stitch_R_4.
22:28:33 | INFO: Draco encoder: Encoding mesh Top_Stitch_R_5.
22:28:33 | INFO: Draco encoder: Encoding mesh Top_Stitch_R_6.
22:28:33 | INFO: Draco encoder: Encoding mesh Front_Latch.
22:28:33 | INFO: Draco encoder: Encoding mesh Latch_Indicator.
22:28:33 | INFO: Draco encoder: Encoding mesh Latch_Inset.
22:28:33 | INFO: Draco encoder: Encoding mesh Latch_Screw_L.
22:28:33 | INFO: Draco encoder: Encoding mesh Latch_Screw_R.
22:28:33 | INFO: Draco encoder: Encoding mesh Interior_Padding.
22:28:33 | INFO: Draco encoder: Encoding mesh Interior_Padding_Back.
22:28:33 | INFO: Draco encoder: Encoding mesh Interior_Padding_Front.
22:28:33 | INFO: Draco encoder: Encoding mesh Interior_Padding_Right.
22:28:33 | INFO: Draco encoder: Encoding mesh Latch_Bottom_Axle.
22:28:33 | INFO: Draco encoder: Encoding mesh Particle_Blue_01.
22:28:33 | INFO: Draco encoder: Encoding mesh Particle_Blue_02.
22:28:33 | INFO: Draco encoder: Encoding mesh Particle_Blue_03.
22:28:33 | INFO: Draco encoder: Encoding mesh Particle_Blue_04.
22:28:33 | INFO: Draco encoder: Encoding mesh Particle_Blue_05.
22:28:33 | INFO: Draco encoder: Encoding mesh Particle_Blue_06.
22:28:33 | INFO: Draco encoder: Encoding mesh Particle_Blue_07.
22:28:33 | INFO: Draco encoder: Encoding mesh Particle_Blue_08.
60 indices, raw size: 824, encoded size: 279, compression ratio: 2.95
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 22 vertices, 60 indices, raw size: 824, encoded size: 279, compression ratio: 2.95
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 22 vertices, 60 indices, raw size: 824, encoded size: 279, compression ratio: 2.95
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 22 vertices, 60 indices, raw size: 824, encoded size: 279, compression ratio: 2.95
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 22 vertices, 60 indices, raw size: 824, encoded size: 278, compression ratio: 2.96
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 22 vertices, 60 indices, raw size: 824, encoded size: 278, compression ratio: 2.96
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 22 vertices, 60 indices, raw size: 824, encoded size: 278, compression ratio: 2.96
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 22 vertices, 60 indices, raw size: 824, encoded size: 278, compression ratio: 2.96
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 22 vertices, 60 indices, raw size: 824, encoded size: 278, compression ratio: 2.96
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 22 vertices, 60 indices, raw size: 824, encoded size: 278, compression ratio: 2.96
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 826 vertices, 1284 indices, raw size: 28936, encoded size: 5987, compression ratio: 4.83
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 459 vertices, 900 indices, raw size: 16488, encoded size: 3445, compression ratio: 4.79
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 399 vertices, 900 indices, raw size: 14376, encoded size: 3301, compression ratio: 4.36
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 66 vertices, 180 indices, raw size: 2472, encoded size: 751, compression ratio: 3.29
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 66 vertices, 180 indices, raw size: 2472, encoded size: 751, compression ratio: 3.29
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 6506 vertices, 10272 indices, raw size: 228672, encoded size: 37791, compression ratio: 6.05
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 836 vertices, 1284 indices, raw size: 29128, encoded size: 5725, compression ratio: 5.09
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 836 vertices, 1284 indices, raw size: 29128, encoded size: 5725, compression ratio: 5.09
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 6506 vertices, 10272 indices, raw size: 228672, encoded size: 37791, compression ratio: 6.05
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 98 vertices, 276 indices, raw size: 3688, encoded size: 885, compression ratio: 4.17
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 43 vertices, 144 indices, raw size: 1664, encoded size: 564, compression ratio: 2.95
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 43 vertices, 144 indices, raw size: 1664, encoded size: 564, compression ratio: 2.95
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 43 vertices, 144 indices, raw size: 1664, encoded size: 564, compression ratio: 2.95
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 43 vertices, 144 indices, raw size: 1664, encoded size: 564, compression ratio: 2.95
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 43 vertices, 144 indices, raw size: 1664, encoded size: 564, compression ratio: 2.95
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 43 vertices, 144 indices, raw size: 1664, encoded size: 564, compression ratio: 2.95
DracoEncoder | Preserve triangle order: no
DracoEncoder | Encoded 43 vertices, 144 indices, raw size: 1664, encoded size: 564, compression ratio: 2.95
DracoEncoder | Preserve triangle order: no
